0,1
False	15	64.21875	1335.75,b'60\r\n'
False	15	65.5625	1324.0,b'60\r\n'
False	15	66.90625	1311.25,b'60\r\n'
False	15	68.234375	1302.25,b'60\r\n'
False	15	69.625	1297.0,b'62\r\n'
False	15	70.96875	1291.0,b'62\r\n'
False	15	72.28125	1285.0,b'62\r\n'
False	15	73.640625	1280.0,b'62\r\n'
False	15	74.96875	1275.75,b'62\r\n'
False	15	76.296875	1272.0,b'62\r\n'
False	15	77.6875	1267.75,b'62\r\n'
False	15	79.046875	1266.0,b'62\r\n'
False	15	80.359375	1265.5,b'62\r\n'
False	15	81.71875	1264.25,b'62\r\n'
False	15	83.0	1262.5,b'62\r\n'
False	15	84.25	1261.5,b'62\r\n'
False	15	85.609375	1262.5,b'62\r\n'
False	15	86.984375	1264.25,b'62\r\n'
False	15	88.3125	1266.5,b'62\r\n'
False	15	89.625	1268.5,b'64\r\n'
False	15	90.921875	1273.75,b'64\r\n'
False	15	92.28125	1276.75,b'64\r\n'
False	15	93.640625	1278.0,b'64\r\n'
False	15	94.984375	1282.75,b'64\r\n'
False	15	96.25	1288.75,b'64\r\n'
False	15	97.625	1295.25,b'64\r\n'
False	15	98.9375	1302.5,b'64\r\n'
False	15	100.234375	1312.25,b'64\r\n'
False	15	101.546875	1323.75,b'64\r\n'
False	15	102.921875	1334.0,b'64\r\n'
False	15	104.234375	1346.75,b'64\r\n'
False	15	105.578125	1358.5,b'64\r\n'
False	15	106.859375	1372.75,b'64\r\n'
False	15	108.15625	1387.0,b'64\r\n'
False	15	109.53125	1401.0,b'66\r\n'
False	15	110.859375	1417.0,b'66\r\n'
False	15	112.1875	1432.75,b'66\r\n'
False	15	113.4375	1453.0,b'66\r\n'
False	15	114.765625	1474.75,b'66\r\n'
False	15	116.078125	1498.0,b'66\r\n'
False	15	117.390625	1521.75,b'66\r\n'
False	15	118.765625	1548.0,b'66\r\n'
False	15	120.046875	1575.5,b'66\r\n'
False	15	121.34375	1603.75,b'66\r\n'
False	15	122.6875	1634.25,b'66\r\n'
False	15	123.984375	1666.5,b'66\r\n'
False	15	125.34375	1702.0,b'66\r\n'
False	15	126.625	1740.5,b'66\r\n'
False	15	127.921875	1778.0,b'66\r\n'
False	15	129.265625	1817.75,b'68\r\n'
False	15	130.578125	1865.5,b'68\r\n'
False	15	131.9375	1917.75,b'68\r\n'
False	10	133.25	1963.75,b'68\r\n'
False	0	141.84375	0.0,b'68\r\n'
False	0	143.171875	0.0,b'68\r\n'
False	0	144.515625	0.0,b'68\r\n'
False	0	145.859375	0.0,b'68\r\n'
False	0	147.1875	0.0,b'68\r\n'
False	15	141.328125	0.0,b'68\r\n'
False	15	142.640625	1803.0,b'68\r\n'
False	15	143.984375	1800.5,b'68\r\n'
False	15	145.359375	1803.5,b'68\r\n'
False	15	146.65625	1792.25,b'68\r\n'
False	15	148.015625	1780.25,b'68\r\n'
False	15	149.375	1764.25,b'70\r\n'
False	0	157.875	0.0,b'70\r\n'
